ip,country,port,org,isp,hostnames,timestamp,product,version,vulns
178.93.197.138,Ukraine,7010,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:07:48.818871,,,
109.86.208.236,Ukraine,30443,CONTENT DELIVERY NETWORK LTD,CONTENT DELIVERY NETWORK LTD,['236.208.86.109.triolan.net'],2026-03-31 18:05:35.957320,OpenVPN,,
195.250.47.58,Ukraine,1701,FORTPOST Ltd.,FORTPOST Ltd.,[],2026-03-31 18:05:26.863853,,,
176.102.36.140,Ukraine,554,PRIVATE JOINT STOCK COMPANY DATAGROUP,"PRIVATE JOINT STOCK COMPANY ""DATAGROUP""",['176.102.36.140.ipv4.datagroup.ua'],2026-03-31 18:05:25.931460,,,
178.94.77.200,Ukraine,8888,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:05:22.143202,,,
185.174.145.98,Ukraine,80,Mayor Alexey Sergeevich,,[],2026-03-31 18:05:20.726797,nginx,,"CVE-2022-31628, CVE-2022-31629, CVE-2024-25117, CVE-2007-3205, CVE-2024-3566, CVE-2020-7059, CVE-2020-7070, CVE-2022-37454, CVE-2019-11048, CVE-2013-2220, CVE-2019-11046, CVE-2019-11047, CVE-2019-11044, CVE-2019-11045, CVE-2022-4900, CVE-2020-7060, CVE-2020-7061, CVE-2020-7062, CVE-2020-7063, CVE-2020-7064, CVE-2020-7066, CVE-2020-7067, CVE-2020-7068, CVE-2020-7069, CVE-2017-8923, CVE-2019-11050"
46.28.69.251,Ukraine,22,GREEN FLOID LLC,GREEN FLOID LLC,['s3.dusseldorf'],2026-03-31 18:05:18.080310,OpenSSH,9.6p1 Ubuntu 3ubuntu13.15,
185.66.89.252,Ukraine,2087,Virtual Systems LLC,Virtual Systems LLC,"['cpanel13.v-sys.org', 'chronotime.it']",2026-03-31 18:05:05.228520,WHM,,
138.124.72.191,Ukraine,80,HOSTLINE LTD,STARK INDUSTRIES SOLUTIONS LTD,[],2026-03-31 18:05:05.034458,nginx,1.24.0,"CVE-2023-44487, CVE-2025-23419"
95.134.112.222,Ukraine,11000,JSC Ukrtelecom,,[],2026-03-31 18:05:01.347474,,,
185.66.88.60,Ukraine,587,Virtual Systems LLC,Virtual Systems LLC,"['dedicated.vsys.host', 'cpanel13.v-sys.org']",2026-03-31 18:04:58.217162,Exim smtpd,4.99.1,
178.95.225.190,Ukraine,60000,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:04:56.462125,,,
46.118.86.93,Ukraine,53,Golden Telecom,"""Kyivstar"" PJSC",['46-118-86-93.broadband.kyivstar.net'],2026-03-31 18:04:56.040120,,,
217.65.255.142,Ukraine,8728,TzOV Biznes i Technologii,"TzOV ""Biznes i Technologii""",['255-142.neonet.ua'],2026-03-31 18:04:55.047405,MikroTik RouterOS API Service,,
37.115.207.234,Ukraine,80,Kyivstar GSM,"""Kyivstar"" PJSC",['37-115-207-234.broadband.kyivstar.net'],2026-03-31 18:04:47.407705,,,
188.190.51.115,Ukraine,80,Lanet Network Ltd,Lanet Network Ltd,['host-188-190-51-115.la.net.ua'],2026-03-31 18:04:45.457489,,,
178.93.167.16,Ukraine,2222,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:04:41.758546,,,
178.93.210.7,Ukraine,2332,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:04:26.427476,,,
194.44.106.135,Ukraine,2000,UARNet Lutsk,"State Enterprise Scientific and Telecommunication Centre ""Ukrainian Academic and Research Network"" of the Institute for Condensed Matter Physics of the National Academy of Science of Ukraine (UARNet)",[],2026-03-31 18:04:23.949787,MikroTik bandwidth-test server,,
45.94.158.164,Ukraine,7005,Mykola Skurikhin,PE Skurykhin Mukola Volodumurovuch,[],2026-03-31 18:04:20.207432,,,
45.94.158.153,Ukraine,2003,Mykola Skurikhin,PE Skurykhin Mukola Volodumurovuch,[],2026-03-31 18:04:19.758905,nginx,,
213.111.122.202,Ukraine,161,Bilink LLC,Bilink LLC,['unused-213.111.122.202.bilink.ua'],2026-03-31 18:03:59.649230,MikroTik,,
185.25.119.135,Ukraine,25,Hosting Ukraine LTD,Hosting Ukraine LTD,['vps-42823.vps-default-host.net'],2026-03-31 18:03:58.114350,Exim smtpd,4.95,"CVE-2022-3620, CVE-2024-39929, CVE-2023-42114, CVE-2023-51766, CVE-2023-42117, CVE-2023-42116, CVE-2023-42115, CVE-2025-67896, CVE-2023-42119, CVE-2022-37451, CVE-2022-3559"
37.52.22.26,Ukraine,2000,JSC Ukrtelecom,"JSC ""Ukrtelecom""",['26-22-52-37.pool.ukrtel.net'],2026-03-31 18:03:56.819306,MikroTik bandwidth-test server,,
45.94.158.129,Ukraine,2003,Mykola Skurikhin,PE Skurykhin Mukola Volodumurovuch,['matevosyan-hair.shop'],2026-03-31 18:03:56.708881,nginx,,
45.94.158.120,Ukraine,21200,Mykola Skurikhin,PE Skurykhin Mukola Volodumurovuch,[],2026-03-31 18:03:56.033095,,,
178.93.142.141,Ukraine,8888,JSC Ukrtelecom,"JSC ""Ukrtelecom""",[],2026-03-31 18:03:55.095512,,,
